feature,shap_value,feature_value,stock,sample_idx
Returns_5d,0.0010900208726525307,-0.0583166536621773,ACI,0
Volatility_30d,0.0009512775577604771,0.172637644812386,ACI,0
BB_Position,0.0008242879412136972,-0.1058802205268619,ACI,0
RSI_14,-0.0008123951847665012,32.73640814223134,ACI,0
Returns_20d,-0.000712315144483,-0.0450667400577955,ACI,0
Returns_1d,0.0005265703657642007,-0.0080583200814765,ACI,0
SMA_100,0.0005235862918198109,575.6813,ACI,0
BB_Width,-0.00038394462899304926,49.39260102265257,ACI,0
MACD,-0.0003534248098731041,-2.9391690481796786,ACI,0
MACD_Signal,-0.00023417909687850624,1.7491783778231316,ACI,0
ATR_14,-0.0013618326047435403,12.034999999999991,ACI,1
BB_Width,0.0011256897123530507,41.5265677290256,ACI,1
SMA_200,-0.0007412873674184084,635.75475,ACI,1
SMA_100,0.0006417869008146226,695.1389999999999,ACI,1
Volume_Ratio,0.0006395815289579332,0.8301263527383607,ACI,1
Returns_1d,-0.0005626163328997791,-0.0019112699472437,ACI,1
BB_Position,0.0005096601671539247,0.7544274804733051,ACI,1
MACD_Signal,0.00035649497294798493,3.2093446823882403,ACI,1
BB_Lower,0.0003253970935475081,731.1012161354871,ACI,1
MACD,0.0002767318510450423,3.80721587474045,ACI,1
Returns_1d,0.000704228354152292,-0.010529146776037,ACI,2
ATR_14,-0.0006093866541050375,14.252857142857156,ACI,2
MACD_Histogram,-0.0005657387082464993,-2.218640029216619,ACI,2
SMA_100,0.0005080811097286642,635.6275,ACI,2
Volume_SMA_20,-0.0003775504301302135,538108.9,ACI,2
RSI_14,0.0003389483317732811,65.62775330396482,ACI,2
Volatility_60d,-0.000311701325699687,0.1765629320593126,ACI,2
BB_Width,-0.00030077897827140987,120.93312817633024,ACI,2
BB_Lower,0.0002759818162303418,665.7854359118348,ACI,2
MACD,-0.00025674462085589767,20.72027526984664,ACI,2
Returns_1d,-0.0010226124431937933,0.0180102762411156,ACI,3
Volume_SMA_20,0.0008094623917713761,460569.3,ACI,3
ATR_14,-0.0007850203546695411,9.470714285714289,ACI,3
BB_Lower,-0.0005640136660076678,484.28166266877054,ACI,3
Returns_5d,0.00038532225880771875,0.0377596087162825,ACI,3
MACD_Histogram,0.0003785118169616908,2.0806025070054748,ACI,3
MACD_Signal,-0.0003689309232868254,15.78148579467332,ACI,3
BB_Width,0.0003560208424460143,93.42467466245898,ACI,3
Returns_20d,0.0003543349157553166,0.1194165009744669,ACI,3
MACD,-0.0003398435073904693,17.862088301678796,ACI,3
MACD_Histogram,0.0007297382690012455,2.6254215704644004,ACI,4
ATR_14,-0.0004548566066659987,10.700000000000014,ACI,4
